entity,code,year,working_hours,productivity per hour,population,continent,health,income,income_p_hour,health_share,food_share
Brazil,BRA,2001,1828.3264,13.1499,178.211888,South America,268.64971924,2553.03127528659,1.3963760930688252,0.10522774313050388,
Brazil,BRA,2002,1818.7257,12.790789,180.476688,South America,245.66194153,2280.03593879109,1.2536447573106213,0.1077447672426838,
Brazil,BRA,2003,1811.1825,12.609983,182.62928,South America,250.3089447,2467.2496637831,1.3622313951151253,0.10145262085726445,
Brazil,BRA,2004,1803.1261,12.661911,184.722048,South America,294.3838501,2943.66413471203,1.6325337061628857,0.10000592344370793,
Brazil,BRA,2005,1783.1312,12.894449,186.797344,South America,383.5508728,3854.84328249938,2.1618393994224205,0.09949843474604643,
Brazil,BRA,2006,1779.1678,13.6727295,188.820688,South America,483.91915894,4774.95962537831,2.6838163468214242,0.10134518339548475,
Brazil,BRA,2007,1774.2665,15.1835165,190.779456,South America,600.63568115,5996.46902170707,3.379689027385159,0.10016489353579809,
Brazil,BRA,2008,1771.2618,16.644289,192.67232,South America,705.13397217,7084.23825622308,3.9995432951939005,0.09953560942852,
Brazil,BRA,2009,1764.5468,17.25405,194.517552,South America,719.42651367,6849.15578857777,3.8815381879232502,0.10503871365720376,
Brazil,BRA,2010,1761.3457,19.317396,196.353504,South America,893.77508545,8758.13558495451,4.972411483421176,0.10205083910614547,
Brazil,BRA,2011,1769.6213,20.919428,198.185296,South America,1028.0847168,10109.9180318797,5.713040429542581,0.10169070743779828,
Brazil,BRA,2012,1765.1022,20.70806,199.977712,South America,953.703125,9206.27501792067,5.215717830911247,0.10359272595523693,
Brazil,BRA,2013,1751.5537,20.708025,201.721776,South America,977.81689453,9304.49323758506,5.312137011605788,0.1050908275778153,
Brazil,BRA,2014,1738.8689,20.427624,203.459648,South America,1013.56842041,9089.28314421543,5.227123875880136,0.11151247071173614,
Brazil,BRA,2015,1722.8759,19.356064,205.188208,South America,782.52294922,6552.61721253539,3.8033019166008355,0.11942143480058713,
Brazil,BRA,2016,1714.675,18.864923,206.859584,South America,795.93798828,6449.63599724466,3.761433506200685,0.12340820297766131,
Brazil,BRA,2017,1709.5944,19.188293,208.50496,South America,937.34289551,7502.89370180498,4.388698103950844,0.12493085105077555,
Brazil,BRA,2018,1706.0571,19.362707,210.166592,South America,863.28173828,6849.38818650754,4.0147473296805485,0.12603778830648843,
Brazil,BRA,2019,1707.795,19.195236,211.78288,South America,850.43286133,6679.16788400378,3.9109892487118065,0.1273261693820779,16.252525
Brazil,BRA,2019,1707.795,19.195236,211.78288,South America,850.43286133,6679.16788400378,3.9109892487118065,0.1273261693820779,
Bulgaria,BGR,2000,1640.2538,15.97558,8.097694,Europe,94.51976013,1373.01513260038,0.8370748067161192,0.06884101848971409,
Bulgaria,BGR,2001,1651.8589,16.91231,8.034863,Europe,119.82997894,1546.24502547765,0.9360636223091754,0.07749740627491,
Bulgaria,BGR,2002,1651.2594,17.264715,7.974804,Europe,148.1479187,1857.50532570537,1.1249021962905223,0.07975638973941689,
Bulgaria,BGR,2003,1640.5111,17.42531,7.917745,Europe,195.74369812,2371.1872791671,1.4453954497272832,0.08255092283927766,
Bulgaria,BGR,2004,1663.6887,17.387133,7.865314,Europe,233.11332703,2944.82116586447,1.7700553991046943,0.07916043586353678,
Bulgaria,BGR,2005,1658.6464,19.274733,7.815221,Europe,267.74139404,3338.79265351051,2.0129622887135614,0.08019108157509823,
Bulgaria,BGR,2006,1654.1027,19.62069,7.76604,Europe,294.10891724,3734.94184005398,2.257986665552254,0.07874524686996179,
Bulgaria,BGR,2007,1654.5214,20.245644,7.719035,Europe,361.23498535,4613.52183071815,2.7884328547930237,0.07829918197087395,
Bulgaria,BGR,2008,1693.596,20.501387,7.674912,Europe,455.54058838,5971.73998792042,3.526071145609945,0.07628272317640473,
Bulgaria,BGR,2009,1646.2753,21.017033,7.634737,Europe,459.30020142,5759.80281082656,3.498687498273563,0.07974234822009266,
Bulgaria,BGR,2010,1644.8379,23.100565,7.592271,Europe,484.75228882,5620.27110440547,3.416914885293846,0.08625069499583839,
Bulgaria,BGR,2011,1643.5928,23.712515,7.543128,Europe,555.86419678,6408.16262013239,3.89887484304652,0.08674314772125995,
Bulgaria,BGR,2012,1644.4498,24.541597,7.488347,Europe,558.64794922,6243.72397865396,3.7968468108019837,0.08947351790852787,
Bulgaria,BGR,2013,1644.9795,23.3278,7.431169,Europe,547.45483398,6422.010444937,3.9040063690380338,0.08524664334851771,
Bulgaria,BGR,2014,1644.059,23.708328,7.372142,Europe,605.25891113,6643.09588537673,4.040667570553569,0.09111097018219176,
Bulgaria,BGR,2015,1644.3853,24.152256,7.309255,Europe,521.41906738,5819.87762443473,3.539242064761057,0.08959278889144068,
Bulgaria,BGR,2016,1643.5475,25.448772,7.245982,Europe,562.34082031,6238.05493669841,3.7954819904495674,0.09014682076647884,
Bulgaria,BGR,2017,1643.258,25.392122,7.18243,Europe,624.52502441,6970.95551448992,4.242155227292318,0.08958958683811051,
Bulgaria,BGR,2018,1644.5715,26.212673,7.117424,Europe,689.90539551,7752.82289796767,4.714190230079793,0.08898763774042255,
Bulgaria,BGR,2019,1645.2465,26.554285,7.052536,Europe,697.8963623,8165.63288119688,4.963166845331006,0.08546751641346208,19.334064
Bulgaria,BGR,2019,1645.2465,26.554285,7.052536,Europe,697.8963623,8165.63288119688,4.963166845331006,0.08546751641346208,
Cambodia,KHM,2000,2296.8909,1.4149227,12.118844,Asia,19.78130531,275.990655900173,0.12015836533645242,0.07167382259910633,
Cambodia,KHM,2001,2321.0562,1.3620656,12.338198,Asia,22.66413116,293.802901390461,0.12658155429000856,0.07714059681759101,
Cambodia,KHM,2002,2367.1667,1.3941027,12.561783,Asia,24.67282104,306.715967785232,0.12957092028425035,0.08044191901113003,
Cambodia,KHM,2003,2366.4758,1.4804914,12.787714,Asia,25.30601883,328.706689254826,0.13890135248998786,0.07698662563688141,
Cambodia,KHM,2004,2374.304,1.5548357,13.016377,Asia,29.03012466,368.003535815602,0.1549942786667596,0.07888545036846145,
Cambodia,KHM,2005,2373.758,1.7654465,13.246588,Asia,32.52131653,425.60476405987,0.17929576817007883,0.07641201244971312,
Cambodia,KHM,2006,2374.1353,1.8179532,13.477781,Asia,33.02656555,482.409548402557,0.20319378950414368,0.06846167464836388,
Cambodia,KHM,2007,2380.8865,1.9759583,13.714798,Asia,30.92131042,566.240999789424,0.23782780060680087,0.05460803868229101,
Cambodia,KHM,2008,2382.5652,2.1253846,13.943897,Asia,49.00638199,664.409492873787,0.2788630896118969,0.07375930433809949,
Cambodia,KHM,2009,2389.0847,1.9446102,14.155742,Asia,55.72327423,648.534874362238,0.27145746417539657,0.08592178529303864,
Cambodia,KHM,2010,2390.162,1.9493625,14.363534,Asia,54.09758377,694.435758396571,0.2905392012744622,0.07790149501360574,
Cambodia,KHM,2011,2408.062,2.0494177,14.573894,Asia,66.05435944,776.740055725155,0.3225581632554125,0.08504049579151993,
Cambodia,KHM,2012,2414.2522,2.262898,14.78665,Asia,69.01600647,832.731206273048,0.3449230392222685,0.0828790922570158,
Cambodia,KHM,2013,2423.9707,2.4935715,14.999691,Asia,72.11994934,882.13988377857,0.3639234928782638,0.08175568372566994,
